,ID,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
13393,90238,0,0,0,0,0,0,0,0,0,1,0,0
13632,91810,0,0,1,0,0,0,0,0,0,0,0,0
13789,92808,0,0,1,0,0,0,0,0,0,0,0,0
14159,95305,0,0,0,0,1,0,0,0,0,1,0,0
14165,95338,0,0,0,0,0,0,1,0,0,0,0,0
14483,97683,0,0,0,0,0,0,0,1,0,0,0,0
14590,98372,0,0,0,0,0,0,0,0,1,0,0,0
15038,101681,0,0,0,0,0,0,0,0,1,0,0,0
15079,102013,1,0,0,0,0,0,0,0,0,0,0,0
15132,102407,0,1,0,0,0,0,0,0,0,0,0,0
15574,105552,0,0,0,0,0,0,0,1,0,0,0,0
16059,109130,0,0,0,0,0,0,1,0,0,0,0,0
16359,111399,0,0,1,0,0,0,0,0,0,0,0,0
16552,112723,0,0,0,0,1,0,0,0,0,0,0,0
16591,112977,0,0,0,0,0,0,0,0,0,0,1,0
16623,113222,0,0,0,0,0,0,0,0,1,0,0,0
16731,113927,0,0,0,0,0,1,0,0,0,0,0,0
16787,114446,1,0,0,0,0,0,0,0,0,0,0,0
17158,117105,0,0,0,1,0,0,0,0,0,0,0,0
17300,118172,0,0,0,0,0,0,1,0,0,0,0,0
17462,119380,1,0,0,0,0,0,0,0,0,0,0,0
17551,120006,0,0,0,0,1,0,0,0,0,0,0,0
17626,120552,0,0,0,0,0,1,0,0,0,0,0,0
17683,120961,0,0,0,1,0,0,0,0,0,0,0,0
17693,121024,1,0,0,0,0,0,0,0,0,0,0,0
17707,121191,0,0,1,0,0,0,0,0,0,0,0,0
17750,121457,0,0,0,1,0,0,0,0,0,0,0,0
17793,121778,0,0,0,0,0,0,0,0,0,0,1,0
17956,122991,0,1,0,0,0,0,0,0,0,0,0,0
18002,123366,0,0,0,0,0,1,0,0,0,0,0,0
18078,124003,0,0,0,0,0,0,0,0,1,0,0,0
18310,125547,0,0,0,0,0,1,0,0,0,0,0,0
18335,125677,0,0,0,0,0,0,0,0,1,0,0,0
18376,125956,0,0,0,0,0,0,0,0,1,0,0,0
18501,126834,0,0,0,0,0,1,0,0,0,0,0,0
18614,127592,0,1,0,0,0,0,0,0,0,0,0,0
18913,129672,0,0,0,0,1,0,0,0,0,0,0,0
19111,131129,0,0,0,0,0,0,0,0,0,1,0,0
19170,131582,0,0,0,0,0,0,0,0,0,0,1,0
19286,132327,0,1,0,0,0,0,0,0,0,0,0,0
19347,132814,0,0,1,0,0,0,0,0,0,0,0,0
19720,135576,1,0,0,0,0,0,0,0,0,0,0,0
19762,135827,0,0,0,0,0,0,1,0,0,0,0,0
19819,136343,0,0,0,0,0,0,0,1,0,0,0,0
19962,137450,0,0,0,0,0,0,0,0,1,0,0,0
20162,138942,0,0,0,0,0,0,1,0,0,0,0,0
20221,139491,1,0,0,0,0,0,0,0,0,0,0,0
20778,143529,0,0,0,0,0,0,0,0,1,0,0,0
20825,143904,0,1,0,0,0,0,0,0,0,0,0,0
20950,144859,0,0,0,0,1,0,0,0,0,0,0,0
21230,146996,0,0,0,0,1,0,0,0,0,0,0,0
21257,147174,0,0,0,0,0,0,0,0,0,0,1,0
21411,148361,0,0,0,0,0,0,0,0,0,0,1,0
