,ID,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
1366,8991,1,0,1,0,1,0,1,0,1,0,1,0
1411,9337,1,0,1,0,1,0,1,0,1,0,1,0
1414,9369,1,0,1,0,1,0,1,0,1,0,1,0
1421,9418,1,0,1,0,1,0,1,0,1,0,1,0
1433,9512,1,0,1,0,1,0,1,0,1,0,1,0
1442,9549,1,0,1,0,1,0,1,0,1,0,1,0
1460,9658,1,0,1,0,1,0,1,0,1,0,1,0
1465,9689,1,0,1,0,1,0,1,0,1,0,1,0
1474,9748,1,0,1,0,1,0,1,0,1,0,1,0
1482,9781,1,0,1,0,1,0,1,0,1,0,1,0
1499,9902,1,0,1,0,1,0,1,0,1,0,1,0
1505,9953,1,0,1,0,1,0,1,0,1,0,1,0
1506,9961,1,0,1,0,1,0,1,0,1,0,1,0
1524,10098,1,0,1,0,1,0,1,0,1,0,1,0
1526,10116,1,0,1,0,1,0,1,0,1,0,1,0
1541,10236,1,0,1,0,1,0,1,0,1,0,1,0
1544,10262,1,0,1,0,1,0,1,0,1,0,1,0
1565,10401,1,0,1,0,1,0,1,0,1,0,1,0
1568,10430,1,0,1,0,1,0,1,0,1,0,1,0
1599,10643,1,0,1,0,1,0,1,0,1,0,1,0
1606,10708,1,0,1,0,1,0,1,0,1,0,1,0
1651,11058,1,0,1,0,1,0,1,0,1,0,1,0
1652,11072,1,0,1,0,1,0,1,0,1,0,1,0
1686,11305,1,0,1,0,1,0,1,0,1,0,1,0
1692,11341,1,0,1,0,1,0,1,0,1,0,1,0
1693,11346,1,0,1,0,1,0,1,0,1,0,1,0
1709,11443,1,0,1,0,1,0,1,0,1,0,1,0
1729,11594,1,0,1,0,1,0,1,0,1,0,1,0
1748,11723,1,0,1,0,1,0,1,0,1,0,1,0
1772,11860,1,0,1,0,1,0,1,0,1,0,1,0
1784,11911,1,0,1,0,1,0,1,0,1,0,1,0
1787,11926,1,0,1,0,1,0,1,0,1,0,1,0
1791,11995,1,0,1,0,1,0,1,0,1,0,1,0
1795,12009,1,0,1,0,1,0,1,0,1,0,1,0
1809,12123,1,0,1,0,1,0,1,0,1,0,1,0
1817,12147,1,0,1,0,1,0,1,0,1,0,1,0
1823,12206,1,0,1,0,1,0,1,0,1,0,1,0
1830,12255,1,0,1,0,1,0,1,0,1,0,1,0
1857,12438,1,0,1,0,1,0,1,0,1,0,1,0
1859,12460,1,0,1,0,1,0,1,0,1,0,1,0
1883,12664,1,0,1,0,1,0,1,0,1,0,1,0
1887,12690,1,0,1,0,1,0,1,0,1,0,1,0
1890,12708,1,0,1,0,1,0,1,0,1,0,1,0
1905,12789,1,0,1,0,1,0,1,0,1,0,1,0
1909,12820,1,0,1,0,1,0,1,0,1,0,1,0
1912,12838,1,0,1,0,1,0,1,0,1,0,1,0
1936,13021,1,0,1,0,1,0,1,0,1,0,1,0
1940,13060,1,0,1,0,1,0,1,0,1,0,1,0
1942,13070,1,0,1,0,1,0,1,0,1,0,1,0
1946,13096,1,0,1,0,1,0,1,0,1,0,1,0
1963,13207,1,0,1,0,1,0,1,0,1,0,1,0
1980,13314,1,0,1,0,1,0,1,0,1,0,1,0
1986,13376,1,0,1,0,1,0,1,0,1,0,1,0
1992,13396,1,0,1,0,1,0,1,0,1,0,1,0
1993,13397,0,0,0,0,1,0,0,0,1,0,0,0
2030,13636,1,0,1,0,1,0,1,0,1,0,1,0
2053,13799,1,0,1,0,1,0,1,0,1,0,1,0
2078,13966,1,0,1,0,1,0,1,0,1,0,1,0
2098,14119,1,0,1,0,1,0,1,0,1,0,1,0
2116,14241,1,0,1,0,1,0,1,0,1,0,1,0
2120,14266,1,0,1,0,1,0,1,0,1,0,1,0
2121,14276,1,0,1,0,1,0,1,0,1,0,1,0
2126,14317,1,0,1,0,1,0,1,0,1,0,1,0
2128,14378,0,0,0,1,0,0,0,1,0,0,0,1
2133,14427,1,0,1,0,1,0,1,0,1,0,1,0
2134,14430,1,0,1,0,1,0,1,0,1,0,1,0
2144,14509,1,0,1,0,1,0,1,0,1,0,1,0
2163,14623,1,0,1,0,1,0,1,0,1,0,1,0
2192,14757,1,0,1,0,1,0,1,0,1,0,1,0
2203,14849,1,0,1,0,1,0,1,0,1,0,1,0
2255,15138,1,0,1,0,1,0,1,0,1,0,1,0
2256,15144,1,0,1,0,1,0,1,0,1,0,1,0
2262,15206,1,0,1,0,1,0,1,0,1,0,1,0
2264,15213,1,0,1,0,1,0,1,0,1,0,1,0
2267,15236,1,0,1,0,1,0,1,0,1,0,1,0
2304,15530,1,0,1,0,1,0,1,0,1,0,1,0
2305,15534,1,0,1,0,1,0,1,0,1,0,1,0
2315,15583,1,0,1,0,1,0,1,0,1,0,1,0
2317,15596,1,0,1,0,1,0,1,0,1,0,1,0
2344,15765,1,0,1,0,1,0,1,0,1,0,1,0
2350,15797,1,0,1,0,1,0,1,0,1,0,1,0
2358,15869,1,0,1,0,1,0,1,0,1,0,1,0
2372,15947,1,0,1,0,1,0,1,0,1,0,1,0
2379,16026,1,0,1,0,1,0,1,0,1,0,1,0
2392,16083,1,0,1,0,1,0,1,0,1,0,1,0
2398,16159,1,0,1,0,1,0,1,0,1,0,1,0
2404,16179,1,0,1,0,1,0,1,0,1,0,1,0
2409,16219,1,0,1,0,1,0,1,0,1,0,1,0
2427,16330,1,0,1,0,1,0,1,0,1,0,1,0
2435,16354,1,0,1,0,1,0,1,0,1,0,1,0
2436,16361,1,0,1,0,1,0,1,0,1,0,1,0
2485,16674,1,0,1,0,1,0,1,0,1,0,1,0
2524,16934,1,0,1,0,1,0,1,0,1,0,1,0
2536,17027,1,0,1,0,1,0,1,0,1,0,1,0
2550,17097,1,0,1,0,1,0,1,0,1,0,1,0
2559,17163,0,1,0,0,1,0,0,1,0,0,1,0
2577,17296,1,0,1,0,1,0,1,0,1,0,1,0
2596,17406,1,0,1,0,1,0,1,0,1,0,1,0
2599,17423,1,0,1,0,1,0,1,0,1,0,1,0
2600,17433,1,0,1,0,1,0,1,0,1,0,1,0
2601,17438,1,0,1,0,1,0,1,0,1,0,1,0
2602,17439,1,0,1,0,1,0,1,0,1,0,1,0
2612,17479,1,0,1,0,1,0,1,0,1,0,1,0
2614,17510,1,0,1,0,1,0,1,0,1,0,1,0
2624,17554,1,0,1,0,1,0,1,0,1,0,1,0
2625,17557,1,0,1,0,1,0,1,0,1,0,1,0
2636,17609,1,0,1,0,1,0,1,0,1,0,1,0
2671,17846,1,0,1,0,1,0,1,0,1,0,1,0
2703,17987,1,0,1,0,1,0,1,0,1,0,1,0
2713,18107,1,0,1,0,1,0,1,0,1,0,1,0
2715,18131,1,0,1,0,1,0,1,0,1,0,1,0
2719,18145,1,0,1,0,1,0,1,0,1,0,1,0
2721,18152,1,0,1,0,1,0,1,0,1,0,1,0
2727,18175,1,0,1,0,1,0,1,0,1,0,1,0
2728,18178,1,0,1,0,1,0,1,0,1,0,1,0
2739,18281,1,0,1,0,1,0,1,0,1,0,1,0
2760,18411,1,0,1,0,1,0,1,0,1,0,1,0
2765,18428,1,0,1,0,1,0,1,0,1,0,1,0
2796,18658,1,0,1,0,1,0,1,0,1,0,1,0
2811,18780,1,0,1,0,1,0,1,0,1,0,1,0
2833,18939,1,0,1,0,1,0,1,0,1,0,1,0
2866,19110,1,0,1,0,1,0,1,0,1,0,1,0
2872,19155,1,0,1,0,1,0,1,0,1,0,1,0
2882,19207,1,0,1,0,1,0,1,0,1,0,1,0
2894,19295,1,0,1,0,1,0,1,0,1,0,1,0
2899,19310,0,0,1,0,0,0,1,0,0,0,1,0
2910,19385,0,0,1,0,0,0,1,0,0,0,1,0
2916,19430,1,0,1,0,1,0,1,0,1,0,1,0
2930,19524,1,0,1,0,1,0,1,0,1,0,1,0
2940,19591,1,0,1,0,1,0,1,0,1,0,1,0
2945,19619,1,0,1,0,1,0,1,0,1,0,1,0
2954,19698,1,0,1,0,1,0,1,0,1,0,1,0
2970,19845,1,0,1,0,1,0,1,0,1,0,1,0
2987,19991,1,0,1,0,1,0,1,0,1,0,1,0
2990,20027,1,0,1,0,1,0,1,0,1,0,1,0
2999,20131,1,0,1,0,1,0,1,0,1,0,1,0
3005,20148,1,0,1,0,1,0,1,0,1,0,1,0
3019,20240,1,0,1,0,1,0,1,0,1,0,1,0
3026,20287,1,0,1,0,1,0,1,0,1,0,1,0
3036,20347,1,0,1,0,1,0,1,0,1,0,1,0
3044,20391,1,0,1,0,1,0,1,0,1,0,1,0
3045,20397,1,0,1,0,1,0,1,0,1,0,1,0
3127,20954,1,0,1,0,1,0,1,0,1,0,1,0
3146,21058,1,0,1,0,1,0,1,0,1,0,1,0
3156,21116,1,0,1,0,1,0,1,0,1,0,1,0
3170,21228,1,0,1,0,1,0,1,0,1,0,1,0
3171,21237,1,0,1,0,1,0,1,0,1,0,1,0
3191,21375,1,0,1,0,1,0,1,0,1,0,1,0
3198,21414,1,0,1,0,1,0,1,0,1,0,1,0
3201,21463,1,0,1,0,1,0,1,0,1,0,1,0
3218,21622,1,0,1,0,1,0,1,0,1,0,1,0
3224,21665,0,0,1,0,0,1,0,0,1,0,0,1
3232,21718,1,0,1,0,1,0,1,0,1,0,1,0
3265,21986,1,0,1,0,1,0,1,0,1,0,1,0
3272,22015,1,0,1,0,1,0,1,0,1,0,1,0
3294,22214,1,0,1,0,1,0,1,0,1,0,1,0
3324,22358,1,0,1,0,1,0,1,0,1,0,1,0
3389,22756,1,0,1,0,1,0,1,0,1,0,1,0
3392,22759,1,0,1,0,1,0,1,0,1,0,1,0
3405,22875,1,0,1,0,1,0,1,0,1,0,1,0
3426,22973,1,0,1,0,1,0,1,0,1,0,1,0
3448,23122,1,0,1,0,1,0,1,0,1,0,1,0
3452,23136,1,0,1,0,1,0,1,0,1,0,1,0
3454,23149,1,0,1,0,1,0,1,0,1,0,1,0
3473,23282,1,0,1,0,1,0,1,0,1,0,1,0
3480,23339,1,0,1,0,1,0,1,0,1,0,1,0
3493,23431,1,0,1,0,1,0,1,0,1,0,1,0
3500,23506,1,0,1,0,1,0,1,0,1,0,1,0
3521,23575,1,0,1,0,1,0,1,0,1,0,1,0
3535,23729,1,0,1,0,1,0,1,0,1,0,1,0
3547,23847,1,0,1,0,1,0,1,0,1,0,1,0
3552,23858,1,0,1,0,1,0,1,0,1,0,1,0
3555,23879,1,0,1,0,1,0,1,0,1,0,1,0
3575,24028,1,0,1,0,1,0,1,0,1,0,1,0
3580,24082,1,0,1,0,1,0,1,0,1,0,1,0
3600,24205,1,0,1,0,1,0,1,0,1,0,1,0
3605,24244,1,0,1,0,1,0,1,0,1,0,1,0
3630,24402,1,0,1,0,1,0,1,0,1,0,1,0
3633,24415,1,0,1,0,1,0,1,0,1,0,1,0
3634,24419,1,0,1,0,1,0,1,0,1,0,1,0
3643,24461,1,0,1,0,1,0,1,0,1,0,1,0
3659,24573,1,0,1,0,1,0,1,0,1,0,1,0
3661,24598,1,0,1,0,1,0,1,0,1,0,1,0
3667,24618,1,0,1,0,1,0,1,0,1,0,1,0
3675,24690,1,0,1,0,1,0,1,0,1,0,1,0
3713,24999,1,0,1,0,1,0,1,0,1,0,1,0
3717,25033,1,0,1,0,1,0,1,0,1,0,1,0
3743,25236,1,0,1,0,1,0,1,0,1,0,1,0
3749,25254,1,0,1,0,1,0,1,0,1,0,1,0
3762,25320,1,0,1,0,1,0,1,0,1,0,1,0
3782,25454,1,0,1,0,1,0,1,0,1,0,1,0
3797,25535,1,0,1,0,1,0,1,0,1,0,1,0
3799,25541,1,0,1,0,1,0,1,0,1,0,1,0
3831,25767,1,0,1,0,1,0,1,0,1,0,1,0
3832,25772,1,0,1,0,1,0,1,0,1,0,1,0
3858,25933,1,0,1,0,1,0,1,0,1,0,1,0
3867,25986,0,1,0,0,0,1,0,0,0,1,0,0
3868,26013,1,0,1,0,1,0,1,0,1,0,1,0
3890,26115,1,0,1,0,1,0,1,0,1,0,1,0
3895,26156,1,0,1,0,1,0,1,0,1,0,1,0
3898,26178,1,0,1,0,1,0,1,0,1,0,1,0
3922,26287,1,0,1,0,1,0,1,0,1,0,1,0
3992,26644,1,0,1,0,1,0,1,0,1,0,1,0
3994,26650,1,0,1,0,1,0,1,0,1,0,1,0
4005,26760,1,0,1,0,1,0,1,0,1,0,1,0
4006,26769,1,0,1,0,1,0,1,0,1,0,1,0
4009,26780,1,0,1,0,1,0,1,0,1,0,1,0
4034,26970,1,0,1,0,1,0,1,0,1,0,1,0
4039,27012,1,0,1,0,1,0,1,0,1,0,1,0
4062,27119,1,0,1,0,1,0,1,0,1,0,1,0
4105,27388,1,0,1,0,1,0,1,0,1,0,1,0
4111,27438,1,0,1,0,1,0,1,0,1,0,1,0
4147,27686,1,0,1,0,1,0,1,0,1,0,1,0
4154,27732,1,0,1,0,1,0,1,0,1,0,1,0
4158,27757,1,0,1,0,1,0,1,0,1,0,1,0
4171,27837,1,0,1,0,1,0,1,0,1,0,1,0
4183,27896,1,0,1,0,1,0,1,0,1,0,1,0
4191,27930,1,0,1,0,1,0,1,0,1,0,1,0
4208,28066,1,0,1,0,1,0,1,0,1,0,1,0
4212,28084,1,0,1,0,1,0,1,0,1,0,1,0
4224,28176,1,0,1,0,1,0,1,0,1,0,1,0
4233,28254,1,0,1,0,1,0,1,0,1,0,1,0
4249,28356,1,0,1,0,1,0,1,0,1,0,1,0
4298,28775,1,0,1,0,1,0,1,0,1,0,1,0
4303,28808,1,0,1,0,1,0,1,0,1,0,1,0
4331,29033,1,0,1,0,1,0,1,0,1,0,1,0
4340,29088,1,0,1,0,1,0,1,0,1,0,1,0
4346,29121,1,0,1,0,1,0,1,0,1,0,1,0
4361,29230,1,0,1,0,1,0,1,0,1,0,1,0
4379,29325,1,0,1,0,1,0,1,0,1,0,1,0
4412,29550,1,0,1,0,1,0,1,0,1,0,1,0
4422,29581,1,0,1,0,1,0,1,0,1,0,1,0
4427,29625,1,0,1,0,1,0,1,0,1,0,1,0
4430,29641,1,0,1,0,1,0,1,0,1,0,1,0
4456,29818,1,0,1,0,1,0,1,0,1,0,1,0
4464,29840,1,0,1,0,1,0,1,0,1,0,1,0
4479,29960,1,0,1,0,1,0,1,0,1,0,1,0
4512,30277,1,0,1,0,1,0,1,0,1,0,1,0
4530,30384,1,0,1,0,1,0,1,0,1,0,1,0
4533,30397,1,0,1,0,1,0,1,0,1,0,1,0
4560,30562,1,0,1,0,1,0,1,0,1,0,1,0
4567,30632,1,0,1,0,1,0,1,0,1,0,1,0
4596,30864,1,0,1,0,1,0,1,0,1,0,1,0
4601,30885,1,0,1,0,1,0,1,0,1,0,1,0
4616,30964,1,0,1,0,1,0,1,0,1,0,1,0
4623,31042,1,0,1,0,1,0,1,0,1,0,1,0
4630,31084,1,0,1,0,1,0,1,0,1,0,1,0
4633,31096,1,0,1,0,1,0,1,0,1,0,1,0
4638,31144,1,0,1,0,1,0,1,0,1,0,1,0
4640,31151,1,0,1,0,1,0,1,0,1,0,1,0
4669,31340,1,0,1,0,1,0,1,0,1,0,1,0
4673,31355,1,0,1,0,1,0,1,0,1,0,1,0
4707,31567,1,0,1,0,1,0,1,0,1,0,1,0
4717,31607,1,0,1,0,1,0,1,0,1,0,1,0
4726,31645,1,0,1,0,1,0,1,0,1,0,1,0
4733,31711,1,0,1,0,1,0,1,0,1,0,1,0
4738,31722,1,0,1,0,1,0,1,0,1,0,1,0
4739,31724,1,0,1,0,1,0,1,0,1,0,1,0
